,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
19845,danniha01,1935,65,16,11,1,2,20.0,0.0,0.0,9,16.0,0.0,0.0,2.0,0.0,4.0,C,0.24342105263157895
19847,danniha01,1937,93,30,12,4,8,51.0,0.0,0.0,18,20.0,0.0,1.0,1.0,0.0,8.0,C,0.2876712328767123
19848,danniha01,1938,120,59,26,3,9,60.0,1.0,0.0,23,40.0,0.0,4.0,1.0,0.0,14.0,C,0.30580357142857145
19849,danniha01,1939,135,79,28,5,16,74.0,4.0,0.0,35,42.0,0.0,2.0,6.0,0.0,12.0,C,0.31346153846153846
19850,danniha01,1940,140,65,34,4,13,91.0,3.0,0.0,35,31.0,0.0,5.0,2.0,0.0,18.0,C,0.29961832061068705
19851,danniha01,1941,130,58,22,4,7,56.0,1.0,0.0,30,25.0,0.0,1.0,3.0,0.0,12.0,C,0.2440087145969499
19852,danniha01,1942,119,45,20,3,1,34.0,3.0,0.0,34,29.0,0.0,0.0,3.0,0.0,15.0,C,0.27941176470588236
19875,darkal01,1948,137,85,39,6,3,48.0,4.0,0.0,24,36.0,0.0,2.0,10.0,0.0,4.0,SS,0.32228360957642727
19876,darkal01,1949,130,74,23,5,3,53.0,5.0,0.0,31,43.0,0.0,1.0,11.0,0.0,10.0,SS,0.27599243856332706
19877,darkal01,1950,154,79,36,5,16,67.0,9.0,0.0,39,60.0,0.0,6.0,11.0,0.0,10.0,SS,0.27938671209540034
19878,darkal01,1951,156,114,41,7,14,69.0,12.0,7.0,42,39.0,0.0,6.0,6.0,0.0,11.0,SS,0.30340557275541796
19879,darkal01,1952,151,92,29,3,14,73.0,6.0,6.0,47,39.0,0.0,5.0,8.0,0.0,10.0,SS,0.300509337860781
19880,darkal01,1953,155,126,41,6,23,88.0,7.0,2.0,28,34.0,0.0,6.0,12.0,0.0,19.0,SS,0.29984544049459044
19881,darkal01,1954,154,98,26,6,20,70.0,5.0,3.0,27,40.0,0.0,5.0,12.0,5.0,16.0,SS,0.29347826086956524
19994,daubeja01,1910,144,67,15,15,8,50.0,23.0,0.0,47,53.0,0.0,5.0,31.0,0.0,0.0,1B,0.2644927536231884
19995,daubeja01,1911,149,89,17,8,5,45.0,32.0,0.0,51,56.0,0.0,2.0,26.0,0.0,0.0,1B,0.30715532286212915
19996,daubeja01,1912,145,81,19,16,3,66.0,29.0,0.0,48,45.0,0.0,6.0,14.0,0.0,0.0,1B,0.3076923076923077
19997,daubeja01,1913,139,76,17,7,2,52.0,25.0,0.0,44,40.0,0.0,3.0,17.0,0.0,0.0,1B,0.35039370078740156
19998,daubeja01,1914,126,89,17,7,6,45.0,25.0,0.0,30,34.0,0.0,5.0,33.0,0.0,0.0,1B,0.3291139240506329
19999,daubeja01,1915,150,62,21,8,2,47.0,11.0,13.0,57,48.0,0.0,1.0,39.0,0.0,0.0,1B,0.3014705882352941
20000,daubeja01,1916,127,75,16,7,3,33.0,21.0,7.0,38,39.0,0.0,4.0,35.0,0.0,0.0,1B,0.3158995815899582
20010,dauerri01,1977,96,38,15,1,5,25.0,1.0,0.0,20,28.0,0.0,2.0,2.0,1.0,10.0,2B,0.24342105263157895
20011,dauerri01,1978,133,57,23,0,6,46.0,0.0,4.0,26,22.0,0.0,0.0,3.0,3.0,16.0,2B,0.2636165577342048
20012,dauerri01,1979,142,63,20,0,9,61.0,0.0,1.0,36,36.0,2.0,1.0,4.0,8.0,15.0,2B,0.2567849686847599
20013,dauerri01,1980,152,71,32,0,2,63.0,3.0,2.0,46,19.0,1.0,3.0,6.0,6.0,22.0,2B,0.2836624775583483
20014,dauerri01,1981,96,41,27,0,4,38.0,0.0,0.0,27,18.0,0.0,3.0,3.0,2.0,6.0,2B,0.26287262872628725
20015,dauerri01,1982,158,75,24,2,8,57.0,0.0,1.0,50,34.0,1.0,1.0,11.0,6.0,15.0,2B,0.27956989247311825
20016,dauerri01,1983,140,49,19,0,5,41.0,1.0,1.0,47,29.0,2.0,2.0,7.0,5.0,20.0,2B,0.23529411764705882
20028,daultda01,1985,36,14,3,1,4,11.0,3.0,0.0,16,37.0,0.0,0.0,0.0,0.0,1.0,C,0.20388349514563106
20029,daultda01,1986,49,18,4,0,8,21.0,2.0,3.0,38,41.0,3.0,1.0,2.0,2.0,1.0,C,0.2246376811594203
20030,daultda01,1987,53,10,6,0,3,13.0,0.0,0.0,16,37.0,1.0,0.0,4.0,1.0,0.0,C,0.1937984496124031
20031,daultda01,1988,58,13,6,0,1,12.0,2.0,1.0,17,26.0,1.0,0.0,0.0,2.0,2.0,C,0.20833333333333334
20032,daultda01,1989,131,29,12,2,8,44.0,2.0,1.0,52,58.0,8.0,2.0,1.0,1.0,4.0,C,0.20108695652173914
20033,daultda01,1990,143,62,30,1,12,57.0,7.0,1.0,72,72.0,9.0,2.0,3.0,4.0,6.0,C,0.2679738562091503
20034,daultda01,1991,89,36,12,0,12,42.0,5.0,0.0,41,66.0,4.0,2.0,2.0,5.0,4.0,C,0.19649122807017544
20056,davalvi01,1963,90,44,18,5,7,36.0,3.0,3.0,16,41.0,0.0,1.0,5.0,2.0,4.0,OF,0.2918918918918919
20057,davalvi01,1964,150,64,26,2,6,51.0,21.0,11.0,34,77.0,2.0,1.0,4.0,6.0,4.0,OF,0.2703639514731369
20058,davalvi01,1965,142,67,19,1,5,40.0,26.0,7.0,35,50.0,9.0,0.0,6.0,4.0,4.0,OF,0.300990099009901
20059,davalvi01,1966,121,42,6,4,3,19.0,8.0,6.0,24,37.0,6.0,0.0,1.0,2.0,6.0,OF,0.25
20060,davalvi01,1967,139,47,17,5,2,22.0,6.0,7.0,10,30.0,0.0,1.0,4.0,1.0,5.0,OF,0.28690807799442897
20061,davalvi01,1968,144,49,17,7,3,31.0,25.0,16.0,18,53.0,1.0,1.0,4.0,3.0,4.0,OF,0.2774566473988439
20062,davalvi01,1969,96,25,4,1,2,11.0,4.0,1.0,13,13.0,1.0,1.0,0.0,0.0,3.0,OF,0.21893491124260356
20096,davenji01,1958,134,70,22,3,12,41.0,1.0,3.0,33,64.0,0.0,7.0,17.0,2.0,4.0,3B,0.2557603686635945
20097,davenji01,1959,123,65,16,3,6,38.0,0.0,1.0,28,65.0,0.0,2.0,9.0,2.0,4.0,3B,0.2579957356076759
20098,davenji01,1960,112,43,15,3,6,38.0,0.0,2.0,26,58.0,1.0,4.0,9.0,2.0,8.0,3B,0.25068870523415976
20099,davenji01,1961,137,64,28,4,12,65.0,4.0,3.0,45,65.0,1.0,2.0,12.0,8.0,10.0,3B,0.2775229357798165
20100,davenji01,1962,144,83,25,5,14,58.0,2.0,5.0,45,76.0,3.0,2.0,8.0,3.0,13.0,3B,0.29690721649484536
20101,davenji01,1963,147,40,19,3,4,36.0,5.0,2.0,32,87.0,4.0,0.0,11.0,6.0,11.0,3B,0.25217391304347825
20102,davenji01,1964,116,24,10,6,2,26.0,2.0,0.0,29,46.0,2.0,0.0,11.0,5.0,11.0,3B,0.2356902356902357
20167,davisal01,1984,152,80,34,3,27,116.0,5.0,4.0,97,78.0,16.0,7.0,0.0,7.0,7.0,1B,0.2839506172839506
20168,davisal01,1985,155,78,33,1,18,78.0,1.0,2.0,90,71.0,7.0,2.0,0.0,7.0,14.0,1B,0.28719723183391005
20169,davisal01,1986,135,66,18,1,18,72.0,0.0,3.0,76,68.0,10.0,3.0,2.0,2.0,11.0,1B,0.27139874739039666
